time factory(in nanosec), time constructor-like method(in nano sec)
82249609,32941529833
113395646,32951591925
88544438,32874193519
81682969,32223799988
86352737,31665886260
76456822,32493984348
83565867,33192763537
91004007,32087609129
82672299,32853259804
84520092,32166922965
factory, constructor
84844528,33968004853
81088767,32082543122
88523115,32993035995
83016412,32305969553
79577371,32660144045
82758084,32597692912
88666948,33090715021
82492187,33341985910
90679715,32780631458
79210254,33122980274
